time,direction,body_size,top_wick_pct,bottom_wick_pct,volume_momentum,distance_to_zone
2026-03-06 13:45:00+00:00,1,0.00044,0.159,0.318,50,0.00018
2026-03-09 00:35:00+00:00,1,0.00097,0.175,0.309,150,0.00067
2026-03-10 09:30:00+00:00,-1,0.00053,0.377,0.415,140,0.00016
2026-03-11 11:55:00+00:00,1,0.00037,0.459,0.405,87,0.00108
2026-03-11 13:45:00+00:00,1,0.00083,0.06,0.578,336,0.00034
2026-03-12 15:20:00+00:00,1,0.00161,0.211,0.528,668,0.00009
2026-03-16 02:40:00+00:00,-1,0.00021,0.667,0.048,4,0.00001
2026-03-16 05:45:00+00:00,-1,0.00024,0.375,0.542,53,0.00022
2026-03-16 12:40:00+00:00,-1,0.00041,0.366,0.268,292,0.00081
2026-03-17 11:00:00+00:00,-1,0.00056,0.411,0.089,102,0.00027
2026-03-17 13:45:00+00:00,-1,0.00052,0.423,0.346,2,0.00028
2026-03-17 15:45:00+00:00,-1,0.00057,0.579,0.14,24,0.00118
2026-03-18 13:55:00+00:00,-1,0.00064,0.406,0.547,30,0.00006
2026-03-19 09:00:00+00:00,1,0.00152,0.184,0.349,354,0.00029
2026-03-19 15:20:00+00:00,-1,0.00218,0.353,0.005,32,0.00085
2026-03-20 12:25:00+00:00,1,0.00026,0.308,0.308,33,0.00057
2026-03-23 07:50:00+00:00,1,0.00037,0.108,0.459,56,0.00031
2026-03-23 13:35:00+00:00,-1,0.00178,0.444,0.107,21,0.00084
2026-03-24 15:30:00+00:00,1,0.00086,0.267,0.407,418,0.00018
2026-03-24 19:50:00+00:00,1,0.00057,0.667,0.316,54,0.00080
2026-03-25 02:40:00+00:00,-1,0.00037,0.486,0.432,31,0.00104
2026-03-25 03:40:00+00:00,-1,0.00067,0.537,0.254,165,0.00009
2026-03-25 16:35:00+00:00,1,0.00068,0.147,0.368,1,0.00030
2026-03-26 08:15:00+00:00,1,0.00052,0.558,0.365,66,0.00001
2026-03-26 09:20:00+00:00,1,0.00083,0.301,0.53,160,0.00051
2026-03-26 10:00:00+00:00,1,0.00067,0.03,0.418,308,0.00048
2026-03-27 11:55:00+00:00,1,0.00037,0.108,0.514,141,0.00013
2026-03-30 12:15:00+00:00,1,0.00069,0.174,0.623,195,0.00023
2026-04-01 22:00:00+00:00,1,0.00045,0.356,0.622,100,0.00024
2026-04-02 18:15:00+00:00,-1,0.00076,0.421,0.0,52,0.00020
2026-04-06 09:50:00+00:00,-1,0.00130,0.392,0.108,633,0.00013
2026-04-08 22:15:00+00:00,1,0.00074,0.149,0.324,34,0.00169
2026-04-08 23:25:00+00:00,1,0.00024,0.0,0.583,71,0.00035
2026-04-10 13:40:00+00:00,-1,0.00026,0.577,0.346,51,0.00012
2026-03-06 13:45:00+00:00,1,0.00044,0.159,0.318,50,0.00018
2026-03-09 00:35:00+00:00,1,0.00097,0.175,0.309,150,0.00067
2026-03-10 09:30:00+00:00,-1,0.00053,0.377,0.415,140,0.00016
2026-03-11 11:55:00+00:00,1,0.00037,0.459,0.405,87,0.00108
2026-03-11 13:45:00+00:00,1,0.00083,0.06,0.578,336,0.00034
2026-03-12 15:20:00+00:00,1,0.00161,0.211,0.528,668,0.00009
2026-03-16 02:40:00+00:00,-1,0.00021,0.667,0.048,4,0.00001
2026-03-16 05:45:00+00:00,-1,0.00024,0.375,0.542,53,0.00022
2026-03-16 12:40:00+00:00,-1,0.00041,0.366,0.268,292,0.00081
2026-03-17 11:00:00+00:00,-1,0.00056,0.411,0.089,102,0.00027
2026-03-17 13:45:00+00:00,-1,0.00052,0.423,0.346,2,0.00028
2026-03-17 15:45:00+00:00,-1,0.00057,0.579,0.14,24,0.00118
2026-03-18 13:55:00+00:00,-1,0.00064,0.406,0.547,30,0.00006
2026-03-19 09:00:00+00:00,1,0.00152,0.184,0.349,354,0.00029
2026-03-19 15:20:00+00:00,-1,0.00218,0.353,0.005,32,0.00085
2026-03-20 12:25:00+00:00,1,0.00026,0.308,0.308,33,0.00057
2026-03-23 07:50:00+00:00,1,0.00037,0.108,0.459,56,0.00031
2026-03-23 13:35:00+00:00,-1,0.00178,0.444,0.107,21,0.00084
2026-03-24 15:30:00+00:00,1,0.00086,0.267,0.407,418,0.00018
2026-03-24 19:50:00+00:00,1,0.00057,0.667,0.316,54,0.00080
2026-03-25 02:40:00+00:00,-1,0.00037,0.486,0.432,31,0.00104
2026-03-25 03:40:00+00:00,-1,0.00067,0.537,0.254,165,0.00009
2026-03-25 16:35:00+00:00,1,0.00068,0.147,0.368,1,0.00030
2026-03-26 08:15:00+00:00,1,0.00052,0.558,0.365,66,0.00001
2026-03-26 09:20:00+00:00,1,0.00083,0.301,0.53,160,0.00051
2026-03-27 11:55:00+00:00,1,0.00037,0.108,0.514,141,0.00013
2026-03-30 12:15:00+00:00,1,0.00069,0.174,0.623,195,0.00023
2026-04-01 22:00:00+00:00,1,0.00045,0.356,0.622,100,0.00024
2026-04-02 18:15:00+00:00,-1,0.00076,0.421,0.0,52,0.00020
2026-04-06 09:50:00+00:00,-1,0.00130,0.392,0.108,633,0.00013
2026-03-06 13:45:00+00:00,1,0.00044,0.159,0.318,50,0.00018
2026-03-09 00:35:00+00:00,1,0.00097,0.175,0.309,150,0.00067
2026-03-10 09:30:00+00:00,-1,0.00053,0.377,0.415,140,0.00016
2026-03-11 11:55:00+00:00,1,0.00037,0.459,0.405,87,0.00108
2026-03-11 13:45:00+00:00,1,0.00083,0.06,0.578,336,0.00034
2026-03-12 15:20:00+00:00,1,0.00161,0.211,0.528,668,0.00009
2026-03-16 02:40:00+00:00,-1,0.00021,0.667,0.048,4,0.00001
2026-03-16 05:45:00+00:00,-1,0.00024,0.375,0.542,53,0.00022
2026-03-16 12:40:00+00:00,-1,0.00041,0.366,0.268,292,0.00081
2026-03-17 11:00:00+00:00,-1,0.00056,0.411,0.089,102,0.00027
2026-03-17 13:45:00+00:00,-1,0.00052,0.423,0.346,2,0.00028
2026-03-17 15:45:00+00:00,-1,0.00057,0.579,0.14,24,0.00118
2026-03-18 13:55:00+00:00,-1,0.00064,0.406,0.547,30,0.00006
2026-03-19 09:00:00+00:00,1,0.00152,0.184,0.349,354,0.00029
2026-03-19 15:20:00+00:00,-1,0.00218,0.353,0.005,32,0.00085
2026-03-20 12:25:00+00:00,1,0.00026,0.308,0.308,33,0.00057
2026-03-23 07:50:00+00:00,1,0.00037,0.108,0.459,56,0.00031
2026-03-23 13:35:00+00:00,-1,0.00178,0.444,0.107,21,0.00084
2026-03-24 15:30:00+00:00,1,0.00086,0.267,0.407,418,0.00018
2026-03-24 19:50:00+00:00,1,0.00057,0.667,0.316,54,0.00080
2026-03-25 02:40:00+00:00,-1,0.00037,0.486,0.432,31,0.00104
2026-03-25 03:40:00+00:00,-1,0.00067,0.537,0.254,165,0.00009
2026-03-25 16:35:00+00:00,1,0.00068,0.147,0.368,1,0.00030
2026-03-26 08:15:00+00:00,1,0.00052,0.558,0.365,66,0.00001
2026-03-26 09:20:00+00:00,1,0.00083,0.301,0.53,160,0.00051
2026-03-26 10:00:00+00:00,1,0.00067,0.03,0.418,308,0.00048
2026-03-27 11:55:00+00:00,1,0.00037,0.108,0.514,141,0.00013
2026-03-30 12:15:00+00:00,1,0.00069,0.174,0.623,195,0.00023
2026-04-01 22:00:00+00:00,1,0.00045,0.356,0.622,100,0.00024
2026-04-02 18:15:00+00:00,-1,0.00076,0.421,0.0,52,0.00020
2026-04-06 09:50:00+00:00,-1,0.00130,0.392,0.108,633,0.00013
2026-04-08 22:15:00+00:00,1,0.00074,0.149,0.324,34,0.00169
2026-04-08 23:25:00+00:00,1,0.00024,0.0,0.583,71,0.00035
2026-04-10 13:40:00+00:00,-1,0.00026,0.577,0.346,51,0.00012
2026-03-06 13:45:00+00:00,1,0.00044,0.159,0.318,50,0.00018
2026-03-09 00:35:00+00:00,1,0.00097,0.175,0.309,150,0.00067
2026-03-10 09:30:00+00:00,-1,0.00053,0.377,0.415,140,0.00016
2026-03-11 11:55:00+00:00,1,0.00037,0.459,0.405,87,0.00108
2026-03-11 13:45:00+00:00,1,0.00083,0.06,0.578,336,0.00034
2026-03-12 15:20:00+00:00,1,0.00161,0.211,0.528,668,0.00009
2026-03-16 02:40:00+00:00,-1,0.00021,0.667,0.048,4,0.00001
2026-03-16 05:45:00+00:00,-1,0.00024,0.375,0.542,53,0.00022
2026-03-16 12:40:00+00:00,-1,0.00041,0.366,0.268,292,0.00081
2026-03-17 11:00:00+00:00,-1,0.00056,0.411,0.089,102,0.00027
2026-03-17 13:45:00+00:00,-1,0.00052,0.423,0.346,2,0.00028
2026-03-17 15:45:00+00:00,-1,0.00057,0.579,0.14,24,0.00118
2026-03-18 13:55:00+00:00,-1,0.00064,0.406,0.547,30,0.00006
2026-03-19 09:00:00+00:00,1,0.00152,0.184,0.349,354,0.00029
2026-03-19 15:20:00+00:00,-1,0.00218,0.353,0.005,32,0.00085
2026-03-20 12:25:00+00:00,1,0.00026,0.308,0.308,33,0.00057
2026-03-23 07:50:00+00:00,1,0.00037,0.108,0.459,56,0.00031
2026-03-23 13:35:00+00:00,-1,0.00178,0.444,0.107,21,0.00084
2026-03-24 15:30:00+00:00,1,0.00086,0.267,0.407,418,0.00018
2026-03-24 19:50:00+00:00,1,0.00057,0.667,0.316,54,0.00080
2026-03-25 02:40:00+00:00,-1,0.00037,0.486,0.432,31,0.00104
2026-03-25 03:40:00+00:00,-1,0.00067,0.537,0.254,165,0.00009
2026-03-25 16:35:00+00:00,1,0.00068,0.147,0.368,1,0.00030
2026-03-26 08:15:00+00:00,1,0.00052,0.558,0.365,66,0.00001
2026-03-26 09:20:00+00:00,1,0.00083,0.301,0.53,160,0.00051
2026-03-26 10:00:00+00:00,1,0.00067,0.03,0.418,308,0.00048
2026-03-27 11:55:00+00:00,1,0.00037,0.108,0.514,141,0.00013
2026-03-30 12:15:00+00:00,1,0.00069,0.174,0.623,195,0.00023
2026-04-01 22:00:00+00:00,1,0.00045,0.356,0.622,100,0.00024
2026-04-02 18:15:00+00:00,-1,0.00076,0.421,0.0,52,0.00020
2026-04-06 09:50:00+00:00,-1,0.00130,0.392,0.108,633,0.00013
2026-04-08 22:15:00+00:00,1,0.00074,0.149,0.324,34,0.00169
2026-04-08 23:25:00+00:00,1,0.00024,0.0,0.583,71,0.00035
2026-04-10 13:40:00+00:00,-1,0.00026,0.577,0.346,51,0.00012
2026-03-06 13:45:00+00:00,1,0.00044,0.159,0.318,50,0.00018
2026-03-09 00:35:00+00:00,1,0.00097,0.175,0.309,150,0.00067
2026-03-10 09:30:00+00:00,-1,0.00053,0.377,0.415,140,0.00016
2026-03-11 11:55:00+00:00,1,0.00037,0.459,0.405,87,0.00108
2026-03-11 13:45:00+00:00,1,0.00083,0.06,0.578,336,0.00034
2026-03-12 15:20:00+00:00,1,0.00161,0.211,0.528,668,0.00009
2026-03-16 02:40:00+00:00,-1,0.00021,0.667,0.048,4,0.00001
2026-03-16 05:45:00+00:00,-1,0.00024,0.375,0.542,53,0.00022
2026-03-16 12:40:00+00:00,-1,0.00041,0.366,0.268,292,0.00081
2026-03-17 11:00:00+00:00,-1,0.00056,0.411,0.089,102,0.00027
2026-03-17 13:45:00+00:00,-1,0.00052,0.423,0.346,2,0.00028
2026-03-17 15:45:00+00:00,-1,0.00057,0.579,0.14,24,0.00118
2026-03-18 13:55:00+00:00,-1,0.00064,0.406,0.547,30,0.00006
2026-03-19 09:00:00+00:00,1,0.00152,0.184,0.349,354,0.00029
2026-03-19 15:20:00+00:00,-1,0.00218,0.353,0.005,32,0.00085
2026-03-20 12:25:00+00:00,1,0.00026,0.308,0.308,33,0.00057
2026-03-23 07:50:00+00:00,1,0.00037,0.108,0.459,56,0.00031
2026-03-23 13:35:00+00:00,-1,0.00178,0.444,0.107,21,0.00084
2026-03-24 15:30:00+00:00,1,0.00086,0.267,0.407,418,0.00018
2026-03-24 19:50:00+00:00,1,0.00057,0.667,0.316,54,0.00080
2026-03-25 02:40:00+00:00,-1,0.00037,0.486,0.432,31,0.00104
2026-03-25 03:40:00+00:00,-1,0.00067,0.537,0.254,165,0.00009
2026-03-25 16:35:00+00:00,1,0.00068,0.147,0.368,1,0.00030
2026-03-26 08:15:00+00:00,1,0.00052,0.558,0.365,66,0.00001
2026-03-26 09:20:00+00:00,1,0.00083,0.301,0.53,160,0.00051
2026-03-26 10:00:00+00:00,1,0.00067,0.03,0.418,308,0.00048
2026-03-27 11:55:00+00:00,1,0.00037,0.108,0.514,141,0.00013
2026-03-30 12:15:00+00:00,1,0.00069,0.174,0.623,195,0.00023
2026-04-01 22:00:00+00:00,1,0.00045,0.356,0.622,100,0.00024
2026-04-02 18:15:00+00:00,-1,0.00076,0.421,0.0,52,0.00020
2026-04-06 09:50:00+00:00,-1,0.00130,0.392,0.108,633,0.00013
2026-04-08 22:15:00+00:00,1,0.00074,0.149,0.324,34,0.00169
2026-04-08 23:25:00+00:00,1,0.00024,0.0,0.583,71,0.00035
2026-04-10 13:40:00+00:00,-1,0.00026,0.577,0.346,51,0.00012
2026-03-06 13:45:00+00:00,1,0.00044,0.159,0.318,50,0.00018
2026-03-09 00:35:00+00:00,1,0.00097,0.175,0.309,150,0.00067
2026-03-10 09:30:00+00:00,-1,0.00053,0.377,0.415,140,0.00016
2026-03-11 11:55:00+00:00,1,0.00037,0.459,0.405,87,0.00108
2026-03-11 13:45:00+00:00,1,0.00083,0.06,0.578,336,0.00034
2026-03-12 15:20:00+00:00,1,0.00161,0.211,0.528,668,0.00009
2026-03-16 02:40:00+00:00,-1,0.00021,0.667,0.048,4,0.00001
2026-03-16 05:45:00+00:00,-1,0.00024,0.375,0.542,53,0.00022
2026-03-16 12:40:00+00:00,-1,0.00041,0.366,0.268,292,0.00081
2026-03-17 11:00:00+00:00,-1,0.00056,0.411,0.089,102,0.00027
2026-03-17 13:45:00+00:00,-1,0.00052,0.423,0.346,2,0.00028
2026-03-17 15:45:00+00:00,-1,0.00057,0.579,0.14,24,0.00118
2026-03-18 13:55:00+00:00,-1,0.00064,0.406,0.547,30,0.00006
2026-03-19 09:00:00+00:00,1,0.00152,0.184,0.349,354,0.00029
2026-03-19 15:20:00+00:00,-1,0.00218,0.353,0.005,32,0.00085
2026-03-20 12:25:00+00:00,1,0.00026,0.308,0.308,33,0.00057
2026-03-23 07:50:00+00:00,1,0.00037,0.108,0.459,56,0.00031
2026-03-23 13:35:00+00:00,-1,0.00178,0.444,0.107,21,0.00084
2026-03-24 15:30:00+00:00,1,0.00086,0.267,0.407,418,0.00018
2026-03-24 19:50:00+00:00,1,0.00057,0.667,0.316,54,0.00080
2026-03-25 02:40:00+00:00,-1,0.00037,0.486,0.432,31,0.00104
2026-03-25 03:40:00+00:00,-1,0.00067,0.537,0.254,165,0.00009
2026-03-25 16:35:00+00:00,1,0.00068,0.147,0.368,1,0.00030
2026-03-26 08:15:00+00:00,1,0.00052,0.558,0.365,66,0.00001
2026-03-26 09:20:00+00:00,1,0.00083,0.301,0.53,160,0.00051
2026-03-27 11:55:00+00:00,1,0.00037,0.108,0.514,141,0.00013
2026-03-30 12:15:00+00:00,1,0.00069,0.174,0.623,195,0.00023
2026-04-01 22:00:00+00:00,1,0.00045,0.356,0.622,100,0.00024
2026-04-02 18:15:00+00:00,-1,0.00076,0.421,0.0,52,0.00020
2026-04-06 09:50:00+00:00,-1,0.00130,0.392,0.108,633,0.00013
2026-04-08 22:15:00+00:00,1,0.00074,0.149,0.324,34,0.00169
2026-04-08 23:25:00+00:00,1,0.00024,0.0,0.583,71,0.00035
2026-04-10 13:40:00+00:00,-1,0.00026,0.577,0.346,51,0.00012
2026-03-06 13:45:00+00:00,1,0.00044,0.159,0.318,50,0.00018
2026-03-09 00:35:00+00:00,1,0.00097,0.175,0.309,150,0.00067
2026-03-10 09:30:00+00:00,-1,0.00053,0.377,0.415,140,0.00016
2026-03-11 11:55:00+00:00,1,0.00037,0.459,0.405,87,0.00108
2026-03-11 13:45:00+00:00,1,0.00083,0.06,0.578,336,0.00034
2026-03-12 15:20:00+00:00,1,0.00161,0.211,0.528,668,0.00009
2026-03-16 02:40:00+00:00,-1,0.00021,0.667,0.048,4,0.00001
2026-03-16 05:45:00+00:00,-1,0.00024,0.375,0.542,53,0.00022
2026-03-16 12:40:00+00:00,-1,0.00041,0.366,0.268,292,0.00081
2026-03-17 11:00:00+00:00,-1,0.00056,0.411,0.089,102,0.00027
2026-03-17 13:45:00+00:00,-1,0.00052,0.423,0.346,2,0.00028
2026-03-17 15:45:00+00:00,-1,0.00057,0.579,0.14,24,0.00118
2026-03-18 13:55:00+00:00,-1,0.00064,0.406,0.547,30,0.00006
2026-03-19 09:00:00+00:00,1,0.00152,0.184,0.349,354,0.00029
2026-03-19 15:20:00+00:00,-1,0.00218,0.353,0.005,32,0.00085
2026-03-20 12:25:00+00:00,1,0.00026,0.308,0.308,33,0.00057
2026-03-23 07:50:00+00:00,1,0.00037,0.108,0.459,56,0.00031
2026-03-23 13:35:00+00:00,-1,0.00178,0.444,0.107,21,0.00084
2026-03-24 15:30:00+00:00,1,0.00086,0.267,0.407,418,0.00018
2026-03-24 19:50:00+00:00,1,0.00057,0.667,0.316,54,0.00080
2026-03-25 02:40:00+00:00,-1,0.00037,0.486,0.432,31,0.00104
2026-03-25 03:40:00+00:00,-1,0.00067,0.537,0.254,165,0.00009
2026-03-25 16:35:00+00:00,1,0.00068,0.147,0.368,1,0.00030
2026-03-26 08:15:00+00:00,1,0.00052,0.558,0.365,66,0.00001
2026-03-26 09:20:00+00:00,1,0.00083,0.301,0.53,160,0.00051
2026-03-26 10:00:00+00:00,1,0.00067,0.03,0.418,308,0.00048
2026-03-27 11:55:00+00:00,1,0.00037,0.108,0.514,141,0.00013
2026-03-30 12:15:00+00:00,1,0.00069,0.174,0.623,195,0.00023
2026-04-01 22:00:00+00:00,1,0.00045,0.356,0.622,100,0.00024
2026-04-02 18:15:00+00:00,-1,0.00076,0.421,0.0,52,0.00020
2026-04-06 09:50:00+00:00,-1,0.00130,0.392,0.108,633,0.00013
2026-04-08 22:15:00+00:00,1,0.00074,0.149,0.324,34,0.00169
2026-04-08 23:25:00+00:00,1,0.00024,0.0,0.583,71,0.00035
2026-03-06 13:45:00+00:00,1,0.00044,0.159,0.318,50,0.00018
2026-03-09 00:35:00+00:00,1,0.00097,0.175,0.309,150,0.00067
2026-03-10 09:30:00+00:00,-1,0.00053,0.377,0.415,140,0.00016
2026-03-11 11:55:00+00:00,1,0.00037,0.459,0.405,87,0.00108
2026-03-11 13:45:00+00:00,1,0.00083,0.06,0.578,336,0.00034
2026-03-12 15:20:00+00:00,1,0.00161,0.211,0.528,668,0.00009
2026-03-16 02:40:00+00:00,-1,0.00021,0.667,0.048,4,0.00001
2026-03-16 05:45:00+00:00,-1,0.00024,0.375,0.542,53,0.00022
2026-03-16 12:40:00+00:00,-1,0.00041,0.366,0.268,292,0.00081
2026-03-17 11:00:00+00:00,-1,0.00056,0.411,0.089,102,0.00027
2026-03-17 13:45:00+00:00,-1,0.00052,0.423,0.346,2,0.00028
2026-03-17 15:45:00+00:00,-1,0.00057,0.579,0.14,24,0.00118
2026-03-18 13:55:00+00:00,-1,0.00064,0.406,0.547,30,0.00006
2026-03-19 09:00:00+00:00,1,0.00152,0.184,0.349,354,0.00029
2026-03-19 15:20:00+00:00,-1,0.00218,0.353,0.005,32,0.00085
2026-03-20 12:25:00+00:00,1,0.00026,0.308,0.308,33,0.00057
2026-03-23 07:50:00+00:00,1,0.00037,0.108,0.459,56,0.00031
2026-03-23 13:35:00+00:00,-1,0.00178,0.444,0.107,21,0.00084
2026-03-24 15:30:00+00:00,1,0.00086,0.267,0.407,418,0.00018
2026-03-24 19:50:00+00:00,1,0.00057,0.667,0.316,54,0.00080
2026-03-25 02:40:00+00:00,-1,0.00037,0.486,0.432,31,0.00104
2026-03-25 03:40:00+00:00,-1,0.00067,0.537,0.254,165,0.00009
2026-03-25 16:35:00+00:00,1,0.00068,0.147,0.368,1,0.00030
2026-03-26 08:15:00+00:00,1,0.00052,0.558,0.365,66,0.00001
2026-03-26 09:20:00+00:00,1,0.00083,0.301,0.53,160,0.00051
2026-03-27 11:55:00+00:00,1,0.00037,0.108,0.514,141,0.00013
2026-03-30 12:15:00+00:00,1,0.00069,0.174,0.623,195,0.00023
2026-04-01 22:00:00+00:00,1,0.00045,0.356,0.622,100,0.00024
2026-04-02 18:15:00+00:00,-1,0.00076,0.421,0.0,52,0.00020
2026-04-06 09:50:00+00:00,-1,0.00130,0.392,0.108,633,0.00013
2026-04-08 22:15:00+00:00,1,0.00074,0.149,0.324,34,0.00169
2026-04-08 23:25:00+00:00,1,0.00024,0.0,0.583,71,0.00035
2026-04-10 13:40:00+00:00,-1,0.00026,0.577,0.346,51,0.00012
2026-03-06 13:45:00+00:00,1,0.00044,0.159,0.318,50,0.00018
2026-03-09 00:35:00+00:00,1,0.00097,0.175,0.309,150,0.00067
2026-03-10 09:30:00+00:00,-1,0.00053,0.377,0.415,140,0.00016
2026-03-11 11:55:00+00:00,1,0.00037,0.459,0.405,87,0.00108
2026-03-11 13:45:00+00:00,1,0.00083,0.06,0.578,336,0.00034
2026-03-12 15:20:00+00:00,1,0.00161,0.211,0.528,668,0.00009
2026-03-16 02:40:00+00:00,-1,0.00021,0.667,0.048,4,0.00001
2026-03-16 05:45:00+00:00,-1,0.00024,0.375,0.542,53,0.00022
2026-03-16 12:40:00+00:00,-1,0.00041,0.366,0.268,292,0.00081
2026-03-17 11:00:00+00:00,-1,0.00056,0.411,0.089,102,0.00027
2026-03-17 13:45:00+00:00,-1,0.00052,0.423,0.346,2,0.00028
2026-03-17 15:45:00+00:00,-1,0.00057,0.579,0.14,24,0.00118
2026-03-18 13:55:00+00:00,-1,0.00064,0.406,0.547,30,0.00006
2026-03-19 09:00:00+00:00,1,0.00152,0.184,0.349,354,0.00029
2026-03-19 15:20:00+00:00,-1,0.00218,0.353,0.005,32,0.00085
2026-03-20 12:25:00+00:00,1,0.00026,0.308,0.308,33,0.00057
2026-03-23 07:50:00+00:00,1,0.00037,0.108,0.459,56,0.00031
2026-03-23 13:35:00+00:00,-1,0.00178,0.444,0.107,21,0.00084
2026-03-24 15:30:00+00:00,1,0.00086,0.267,0.407,418,0.00018
2026-03-24 19:50:00+00:00,1,0.00057,0.667,0.316,54,0.00080
2026-03-25 02:40:00+00:00,-1,0.00037,0.486,0.432,31,0.00104
2026-03-25 03:40:00+00:00,-1,0.00067,0.537,0.254,165,0.00009
2026-03-25 16:35:00+00:00,1,0.00068,0.147,0.368,1,0.00030
2026-03-26 08:15:00+00:00,1,0.00052,0.558,0.365,66,0.00001
2026-03-26 09:20:00+00:00,1,0.00083,0.301,0.53,160,0.00051
2026-03-27 11:55:00+00:00,1,0.00037,0.108,0.514,141,0.00013
2026-03-30 12:15:00+00:00,1,0.00069,0.174,0.623,195,0.00023
2026-04-01 22:00:00+00:00,1,0.00045,0.356,0.622,100,0.00024
2026-04-02 18:15:00+00:00,-1,0.00076,0.421,0.0,52,0.00020
2026-04-06 09:50:00+00:00,-1,0.00130,0.392,0.108,633,0.00013
2026-04-08 22:15:00+00:00,1,0.00074,0.149,0.324,34,0.00169
2026-04-08 23:25:00+00:00,1,0.00024,0.0,0.583,71,0.00035
2026-04-10 13:40:00+00:00,-1,0.00026,0.577,0.346,51,0.00012
2026-04-15 05:35:00,123456,1,0.00039,0.077,0.333,18446744073709551547,0.00003
2026-04-15 05:35:00,123456,1,0.00039,0.077,0.333,18446744073709551547,0.00048
2026-04-15 18:25:00,123456,-1,0.00047,0.532,0.17,18446744073709551358,0.00023
2026-04-15 21:20:00,123456,-1,0.00027,0.444,0.556,23,0.00011
2026-04-15 21:20:00,123456,-1,0.00027,0.444,0.556,23,0.00011
2026-04-15 21:20:00,123456,-1,0.00027,0.444,0.556,23,0.00011
2026-04-15 21:20:00,123456,-1,0.00027,0.444,0.556,23,0.00011
2026-04-15 21:20:00,123456,-1,0.00027,0.444,0.556,23,0.00011
2026-04-15 22:20:00,123456,-1,0.00014,0.357,0.643,18446744073709551578,0.00016
